Order_ID,Customer_ID,Order_Date,Order_Time,City,Area,Restaurant,Food_Item,Category,Quantity,Price,Delivery_Time_Min,Payment_Mode,Rating
O20,C7918,2025-02-05,08:32,Salem,Velachery,KFC,Sandwich,Veg,2,395,35,UPI,3.9
O21,C1871,2025-02-12,04:26,Madurai,Velachery,SS Hyderabad,Chicken 65,Veg,1,112,19,Card,4.1
O22,C9023,2025-07-11,22:43,Trichy,Velachery,Burger King,Parotta,Veg,4,429,41,Card,4.8
O23,C4940,2025-03-25,10:00,Trichy,Tambaram,SS Hyderabad,Fried Rice,Veg,3,332,35,Cash,3.1
O24,C4971,2025-11-08,21:00,Salem,Porur,Burger King,Noodles,Veg,1,479,36,UPI,4.5
O25,C9681,2025-07-19,21:52,Coimbatore,T Nagar,Burger King,Burger,Veg,5,219,31,UPI,3.4
O26,C4590,2025-10-16,19:42,Madurai,Anna Nagar,A2B,Biryani,Veg,1,336,20,Card,3.2
O27,C5056,2025-09-20,13:34,Trichy,Porur,KFC,Burger,Veg,1,434,20,Cash,4.6
O28,C1934,2025-10-04,18:38,Salem,Velachery,SS Hyderabad,Biryani,Non-Veg,4,340,26,UPI,3.5
O29,C8294,2025-10-06,23:22,Chennai,Tambaram,SS Hyderabad,Dosa,Non-Veg,1,346,50,UPI,3.0
O30,C5868,2025-02-08,04:46,Salem,Tambaram,Burger King,Noodles,Veg,1,231,21,UPI,3.1
O31,C2282,2025-11-10,14:54,Chennai,T Nagar,KFC,Dosa,Veg,3,411,35,Cash,3.8
O32,C2487,2025-02-27,19:03,Coimbatore,Tambaram,KFC,Chicken 65,Non-Veg,3,348,45,Cash,3.3
O33,C2134,2025-07-17,15:06,Chennai,Porur,A2B,Pizza,Veg,3,436,51,Card,3.6
O34,C4404,2025-01-26,07:02,Coimbatore,Tambaram,Burger King,Pizza,Veg,5,109,46,Cash,3.7
O35,C6624,2025-11-02,14:51,Salem,T Nagar,SS Hyderabad,Chicken 65,Veg,3,261,57,Card,4.6
O36,C2326,2025-02-24,18:08,Salem,Tambaram,SS Hyderabad,Chicken 65,Veg,4,464,30,Cash,3.6
O37,C2601,2025-06-13,16:26,Salem,T Nagar,SS Hyderabad,Parotta,Veg,4,168,33,Card,4.1
O38,C9600,2025-07-05,23:20,Salem,Porur,Dominos,Burger,Non-Veg,2,417,18,UPI,4.4
O39,C2228,2025-10-20,18:38,Trichy,Velachery,A2B,Sandwich,Veg,5,340,30,Card,3.7
O40,C2638,2025-04-29,11:53,Trichy,T Nagar,SS Hyderabad,Sandwich,Non-Veg,1,245,58,Card,4.8
O41,C3567,2025-05-07,11:50,Madurai,Anna Nagar,A2B,Burger,Veg,5,362,26,UPI,3.4
O42,C3611,2025-03-28,23:49,Salem,T Nagar,KFC,Burger,Non-Veg,1,431,41,UPI,4.7
O43,C3215,2025-08-05,21:40,Chennai,Tambaram,SS Hyderabad,Pizza,Non-Veg,3,96,46,Card,3.4
O44,C3015,2025-03-18,12:45,Trichy,Anna Nagar,Dominos,Biryani,Non-Veg,3,307,34,Cash,3.9
O45,C3675,2025-04-07,22:14,Trichy,Anna Nagar,KFC,Dosa,Veg,2,394,54,UPI,3.8
O46,C8264,2025-07-08,09:17,Madurai,Velachery,KFC,Sandwich,Veg,4,197,26,UPI,4.3
O47,C8910,2025-03-31,15:29,Salem,Porur,Dominos,Chicken 65,Veg,3,344,54,Card,4.5
O48,C8344,2025-12-10,16:01,Salem,Tambaram,A2B,Chicken 65,Non-Veg,3,264,57,UPI,3.3
O49,C5113,2025-10-14,08:21,Trichy,T Nagar,A2B,Biryani,Veg,5,225,21,UPI,3.5
O50,C3726,2025-03-28,15:46,Coimbatore,Velachery,Burger King,Noodles,Non-Veg,1,89,40,Cash,3.4
O51,C6919,2025-10-23,04:10,Coimbatore,Tambaram,SS Hyderabad,Chicken 65,Veg,1,490,56,Cash,4.8
O52,C4541,2025-03-07,22:24,Chennai,Porur,Dominos,Chicken 65,Non-Veg,2,200,53,Card,4.9
O53,C6903,2025-05-19,17:26,Trichy,Velachery,Burger King,Fried Rice,Non-Veg,4,328,36,Card,3.3
O54,C5511,2025-01-15,22:47,Salem,Tambaram,SS Hyderabad,Burger,Non-Veg,3,81,35,Cash,4.6
O55,C4208,2025-11-19,13:33,Chennai,Porur,KFC,Biryani,Veg,4,264,48,Cash,3.5
O56,C3853,2025-07-30,13:40,Coimbatore,Velachery,KFC,Dosa,Veg,4,429,47,Cash,4.9
O57,C9934,2025-09-23,10:57,Coimbatore,Anna Nagar,Burger King,Pizza,Veg,4,162,49,UPI,4.1
O58,C4833,2025-03-21,20:58,Chennai,T Nagar,A2B,Fried Rice,Veg,4,199,43,UPI,3.1
O59,C2151,2025-03-01,07:25,Chennai,Tambaram,Burger King,Pizza,Non-Veg,5,160,20,Card,4.1
O60,C9942,2025-11-13,22:59,Chennai,T Nagar,A2B,Burger,Non-Veg,4,282,48,Card,5.0
O61,C5643,2025-04-24,19:28,Madurai,T Nagar,Burger King,Parotta,Non-Veg,5,230,26,Cash,3.4
O62,C2113,2025-02-12,23:57,Chennai,Anna Nagar,Dominos,Sandwich,Non-Veg,1,281,59,Cash,4.3
O63,C9610,2025-03-22,11:50,Coimbatore,Anna Nagar,Dominos,Noodles,Veg,3,184,40,UPI,4.7
O64,C5397,2025-04-29,19:21,Coimbatore,Tambaram,Dominos,Meals,Veg,1,287,35,UPI,4.7
O65,C9526,2025-12-20,06:05,Trichy,T Nagar,Dominos,Meals,Veg,3,352,45,Cash,4.1
O66,C7036,2025-01-10,15:14,Trichy,Velachery,KFC,Meals,Non-Veg,3,316,54,UPI,4.3
O67,C9856,2025-04-08,21:40,Chennai,Tambaram,A2B,Noodles,Veg,1,294,19,Card,3.5
O68,C8383,2025-11-18,15:56,Chennai,Tambaram,KFC,Dosa,Veg,3,477,59,Cash,3.9
O69,C7518,2025-04-15,06:32,Coimbatore,Porur,Dominos,Dosa,Non-Veg,1,423,43,Cash,3.5
O70,C9812,2025-01-21,22:07,Salem,Anna Nagar,KFC,Sandwich,Non-Veg,3,91,38,UPI,3.1
O71,C2977,2025-07-08,13:45,Coimbatore,Tambaram,KFC,Fried Rice,Non-Veg,4,157,25,UPI,3.6
O72,C6660,2025-04-29,17:43,Trichy,Anna Nagar,A2B,Noodles,Non-Veg,2,229,40,Cash,4.7
O73,C5111,2025-04-08,21:34,Trichy,Anna Nagar,Dominos,Burger,Veg,2,209,21,UPI,3.6
O74,C8418,2025-07-12,14:24,Salem,Porur,A2B,Chicken 65,Veg,1,493,56,UPI,3.4
O75,C6521,2025-08-03,00:21,Chennai,Porur,KFC,Biryani,Non-Veg,1,175,46,Cash,4.7
O76,C3705,2025-04-17,13:58,Madurai,Porur,KFC,Fried Rice,Non-Veg,5,204,38,Cash,4.8
O77,C5565,2025-12-29,00:03,Chennai,Porur,Burger King,Noodles,Non-Veg,5,446,52,Cash,4.2
O78,C3756,2025-09-25,13:01,Salem,T Nagar,Burger King,Burger,Non-Veg,3,320,56,Card,3.4
O79,C8489,2025-08-14,09:19,Madurai,Tambaram,Burger King,Meals,Veg,4,294,60,UPI,4.1
O80,C3700,2025-12-08,11:29,Madurai,Anna Nagar,SS Hyderabad,Noodles,Veg,2,177,39,Cash,4.3
O81,C2360,2025-12-12,10:52,Madurai,Velachery,Dominos,Dosa,Veg,3,224,15,Cash,3.7
O82,C6924,2025-10-08,08:24,Coimbatore,Tambaram,KFC,Parotta,Non-Veg,1,116,52,UPI,4.5
O83,C7694,2025-11-04,14:03,Trichy,Porur,Burger King,Noodles,Non-Veg,1,205,44,Cash,4.2
O84,C2408,2025-04-16,10:57,Trichy,Porur,Dominos,Fried Rice,Non-Veg,1,247,39,Cash,4.8
O85,C8678,2025-11-26,08:45,Coimbatore,Velachery,A2B,Parotta,Non-Veg,3,193,38,Card,4.0
O86,C7513,2025-05-10,15:45,Coimbatore,Tambaram,Dominos,Chicken 65,Non-Veg,2,246,47,Card,4.9
O87,C5825,2025-07-01,10:39,Chennai,Tambaram,Burger King,Parotta,Non-Veg,1,430,46,UPI,4.7
O88,C9790,2025-06-13,04:32,Salem,Tambaram,SS Hyderabad,Chicken 65,Veg,1,472,44,Cash,3.4
O89,C8765,2025-01-03,13:59,Chennai,Anna Nagar,A2B,Pizza,Veg,3,257,23,UPI,3.5
O90,C8356,2025-12-03,03:35,Coimbatore,T Nagar,SS Hyderabad,Burger,Veg,1,250,56,Cash,4.6
O91,C7710,2025-11-12,16:10,Salem,Porur,Dominos,Burger,Veg,5,479,60,UPI,4.7
O92,C9506,2025-05-29,11:57,Trichy,Anna Nagar,Dominos,Parotta,Veg,5,80,17,Cash,4.5
O93,C7356,2025-07-06,12:38,Salem,Anna Nagar,SS Hyderabad,Pizza,Non-Veg,4,495,32,UPI,3.9
O94,C5371,2025-09-18,18:37,Salem,Velachery,KFC,Parotta,Non-Veg,5,410,24,Card,4.7
O95,C4594,2025-09-29,20:02,Trichy,Porur,Burger King,Parotta,Veg,3,424,53,UPI,3.8
O96,C6028,2025-02-15,22:54,Salem,T Nagar,Burger King,Parotta,Non-Veg,5,211,60,UPI,4.8
O97,C8609,2025-11-27,08:39,Chennai,Porur,KFC,Fried Rice,Non-Veg,1,381,42,Card,3.1
O98,C1865,2025-04-14,02:05,Chennai,Velachery,A2B,Parotta,Veg,3,196,40,UPI,3.7
O99,C6892,2025-12-01,05:53,Salem,Anna Nagar,KFC,Burger,Non-Veg,5,281,48,Card,3.3
O100,C2495,2025-09-02,20:29,Trichy,Anna Nagar,A2B,Burger,Veg,1,194,54,Card,3.8
O101,C5860,2025-12-02,19:49,Coimbatore,Velachery,Dominos,Pizza,Veg,4,248,30,UPI,4.7
O102,C2809,2025-02-19,22:50,Trichy,Anna Nagar,SS Hyderabad,Fried Rice,Veg,3,350,58,Cash,4.9
O103,C3871,2025-12-30,11:09,Coimbatore,Velachery,KFC,Pizza,Veg,2,143,26,Cash,3.9
O104,C1612,2025-05-11,10:34,Trichy,Porur,Dominos,Pizza,Veg,3,385,23,Card,4.4
O105,C8173,2025-06-20,18:02,Salem,Tambaram,SS Hyderabad,Parotta,Veg,2,136,17,UPI,5.0
O106,C1026,2025-02-08,01:50,Trichy,Anna Nagar,Dominos,Biryani,Non-Veg,3,396,20,Cash,3.6
O107,C8665,2025-10-22,11:22,Coimbatore,Tambaram,SS Hyderabad,Sandwich,Non-Veg,1,387,18,Card,4.5
O108,C2226,2025-03-25,08:52,Salem,Velachery,A2B,Biryani,Non-Veg,3,179,37,UPI,4.1
O109,C6677,2025-12-05,02:30,Madurai,Tambaram,Burger King,Dosa,Veg,5,199,33,UPI,3.1
O110,C1304,2025-10-17,02:10,Coimbatore,Velachery,Burger King,Dosa,Veg,1,302,28,UPI,4.5
O111,C4575,2025-11-05,04:15,Salem,Velachery,Dominos,Parotta,Non-Veg,3,392,33,Cash,3.5
O112,C5259,2025-03-25,23:37,Chennai,Anna Nagar,SS Hyderabad,Meals,Non-Veg,5,362,15,Card,4.2
O113,C2844,2025-10-26,13:30,Madurai,Tambaram,A2B,Burger,Non-Veg,5,291,21,Cash,4.8
O114,C4969,2025-10-20,12:24,Trichy,Anna Nagar,Dominos,Parotta,Veg,4,307,56,Cash,4.8
O115,C9236,2025-12-02,18:46,Salem,Tambaram,Dominos,Sandwich,Veg,3,288,51,Card,3.0
O116,C3715,2025-07-15,09:30,Salem,Tambaram,KFC,Pizza,Veg,1,284,27,Cash,3.3
O117,C2009,2025-07-21,04:50,Coimbatore,Porur,SS Hyderabad,Fried Rice,Non-Veg,1,406,43,Card,4.1
O118,C8684,2025-11-28,09:45,Trichy,Porur,SS Hyderabad,Sandwich,Veg,1,335,20,Card,4.5
O119,C3784,2025-11-17,17:21,Trichy,Anna Nagar,Burger King,Noodles,Veg,4,408,17,UPI,3.5
O120,C2858,2025-08-13,10:53,Salem,Anna Nagar,SS Hyderabad,Meals,Veg,5,363,54,Card,5.0
O121,C8503,2025-07-20,07:47,Madurai,Porur,SS Hyderabad,Burger,Veg,3,242,58,Cash,4.8
O122,C5449,2025-10-23,01:05,Madurai,T Nagar,Dominos,Burger,Non-Veg,3,250,17,UPI,3.4
O123,C7554,2025-02-01,20:29,Salem,Velachery,Burger King,Parotta,Non-Veg,3,447,58,UPI,4.7
O124,C7981,2025-12-02,09:30,Coimbatore,Porur,Burger King,Biryani,Veg,5,212,57,Cash,3.5
O125,C6634,2025-09-08,07:13,Coimbatore,Anna Nagar,KFC,Parotta,Veg,3,195,44,Card,4.0
O126,C9010,2025-05-02,18:50,Chennai,Velachery,A2B,Pizza,Veg,4,257,20,Card,3.8
O127,C8635,2025-01-29,09:47,Salem,Tambaram,SS Hyderabad,Biryani,Non-Veg,1,94,52,Cash,4.3
O128,C1752,2025-11-17,14:57,Trichy,T Nagar,Dominos,Biryani,Non-Veg,5,282,31,UPI,4.5
O129,C8876,2025-12-24,01:32,Trichy,Tambaram,KFC,Burger,Veg,4,129,58,Card,3.8
O130,C4697,2025-03-11,17:08,Salem,Velachery,SS Hyderabad,Fried Rice,Veg,4,173,27,Card,3.3
O131,C2315,2025-01-30,05:26,Madurai,Tambaram,SS Hyderabad,Biryani,Veg,1,256,16,Card,4.4
O132,C7812,2025-10-18,05:30,Madurai,Velachery,KFC,Chicken 65,Veg,4,139,27,Cash,4.0
O133,C7133,2025-11-09,18:05,Chennai,Anna Nagar,Dominos,Parotta,Veg,5,280,55,Cash,3.7
O134,C9296,2025-01-10,00:25,Salem,Anna Nagar,KFC,Pizza,Veg,5,413,19,Card,4.8
O135,C5717,2025-03-04,00:06,Coimbatore,T Nagar,Dominos,Burger,Veg,3,429,40,UPI,3.7
O136,C3415,2025-12-27,13:05,Chennai,T Nagar,KFC,Pizza,Non-Veg,2,485,23,UPI,3.9
O137,C4510,2025-08-15,17:37,Trichy,Tambaram,Burger King,Meals,Veg,3,306,54,UPI,4.2
O138,C2838,2025-08-13,01:19,Madurai,Anna Nagar,KFC,Fried Rice,Veg,5,223,40,Cash,4.9
O139,C3248,2025-11-06,19:07,Coimbatore,Porur,Dominos,Noodles,Veg,2,202,52,UPI,4.9
O140,C9665,2025-08-09,17:08,Madurai,Porur,SS Hyderabad,Burger,Non-Veg,2,139,53,Card,3.6
O141,C9400,2025-12-09,15:58,Coimbatore,Porur,SS Hyderabad,Chicken 65,Non-Veg,1,159,34,Cash,4.2
O142,C5081,2025-09-02,18:48,Madurai,T Nagar,Burger King,Sandwich,Non-Veg,1,124,43,Card,3.5
O143,C5565,2025-01-27,21:25,Coimbatore,Porur,KFC,Fried Rice,Veg,2,302,33,UPI,4.9
O144,C2351,2025-09-21,14:13,Chennai,T Nagar,Dominos,Meals,Veg,1,291,32,Cash,4.3
O145,C2854,2025-11-05,09:14,Trichy,Anna Nagar,Burger King,Parotta,Non-Veg,4,132,27,UPI,4.0
O146,C6333,2025-04-13,23:50,Trichy,T Nagar,KFC,Noodles,Non-Veg,1,130,18,UPI,3.9
O147,C1264,2025-01-03,07:30,Madurai,T Nagar,Dominos,Biryani,Veg,5,422,39,Cash,4.5
O148,C1391,2025-11-29,08:05,Trichy,Tambaram,Dominos,Meals,Non-Veg,4,135,53,Cash,4.5
O149,C5203,2025-12-03,10:50,Madurai,Velachery,SS Hyderabad,Noodles,Veg,2,302,34,Card,3.7
O150,C3341,2025-10-19,04:01,Salem,Velachery,KFC,Noodles,Veg,5,122,45,UPI,4.8
O151,C1617,2025-10-26,22:13,Salem,Anna Nagar,Dominos,Noodles,Veg,4,131,59,Card,3.5
O152,C5902,2025-12-21,01:12,Trichy,Velachery,SS Hyderabad,Burger,Non-Veg,3,449,38,Cash,4.1
O153,C2005,2025-06-06,06:52,Chennai,T Nagar,A2B,Sandwich,Non-Veg,4,234,36,UPI,3.2
O154,C7077,2025-02-18,21:34,Madurai,T Nagar,KFC,Chicken 65,Non-Veg,4,290,34,Cash,4.5
O155,C4289,2025-06-06,07:20,Trichy,Anna Nagar,SS Hyderabad,Pizza,Non-Veg,3,276,47,Card,3.8
O156,C1415,2025-01-05,04:43,Trichy,T Nagar,A2B,Burger,Non-Veg,5,365,27,Card,3.9
O157,C1520,2025-10-16,04:35,Salem,Tambaram,KFC,Fried Rice,Veg,1,215,35,Card,3.0
O158,C4716,2025-10-04,06:21,Coimbatore,Anna Nagar,Dominos,Dosa,Veg,3,398,18,Card,4.0
O159,C3487,2025-04-06,18:13,Madurai,Anna Nagar,SS Hyderabad,Dosa,Non-Veg,5,422,24,Card,4.0
O160,C2970,2025-10-06,11:21,Coimbatore,Tambaram,Burger King,Chicken 65,Non-Veg,3,397,43,Card,3.2
O161,C1644,2025-10-11,10:38,Salem,Porur,Dominos,Pizza,Non-Veg,4,131,42,Card,4.9
O162,C5805,2025-12-26,19:44,Trichy,Tambaram,A2B,Pizza,Non-Veg,4,301,25,UPI,4.9
O163,C9504,2025-08-22,23:30,Trichy,Tambaram,KFC,Chicken 65,Non-Veg,5,142,49,Cash,4.4
O164,C6168,2025-05-26,07:27,Coimbatore,T Nagar,Dominos,Sandwich,Veg,2,423,23,UPI,4.9
O165,C4844,2025-10-27,15:26,Coimbatore,Tambaram,A2B,Chicken 65,Non-Veg,4,81,55,Card,4.0
O166,C5310,2025-06-19,17:59,Trichy,T Nagar,A2B,Biryani,Veg,2,86,33,UPI,4.0
O167,C8454,2025-11-06,13:42,Coimbatore,Tambaram,Dominos,Noodles,Veg,1,134,48,Cash,3.1
O168,C1038,2025-11-08,07:50,Coimbatore,T Nagar,A2B,Sandwich,Non-Veg,1,353,60,Card,3.6
O169,C3911,2025-11-24,14:11,Salem,Velachery,Burger King,Meals,Veg,2,357,39,UPI,4.3
O170,C7849,2025-10-16,14:01,Coimbatore,Porur,A2B,Burger,Non-Veg,3,385,42,Cash,4.2
O171,C8920,2025-01-12,19:01,Trichy,Anna Nagar,KFC,Chicken 65,Non-Veg,4,184,54,UPI,3.5
O172,C8450,2025-03-26,02:47,Trichy,Velachery,Burger King,Sandwich,Veg,2,281,27,Cash,3.2
O173,C6316,2025-11-26,10:43,Chennai,Velachery,SS Hyderabad,Sandwich,Veg,1,461,46,Cash,3.5
O174,C8604,2025-10-27,17:00,Salem,T Nagar,Dominos,Fried Rice,Veg,4,361,15,UPI,5.0
O175,C9606,2025-07-11,08:50,Trichy,T Nagar,Dominos,Burger,Non-Veg,5,176,25,Cash,3.9
O176,C5431,2025-03-01,20:51,Salem,Anna Nagar,SS Hyderabad,Parotta,Veg,1,394,29,Card,4.0
O177,C1429,2025-11-30,23:15,Madurai,Velachery,Dominos,Biryani,Non-Veg,3,343,49,Card,4.2
O178,C5245,2025-04-26,00:07,Coimbatore,Porur,Burger King,Noodles,Veg,4,166,23,Card,3.0
O179,C4431,2025-02-01,11:26,Coimbatore,Tambaram,KFC,Pizza,Non-Veg,2,447,18,Card,4.7
O180,C3436,2025-01-07,02:46,Coimbatore,Anna Nagar,A2B,Burger,Non-Veg,2,96,24,UPI,3.2
O181,C1509,2025-08-27,06:20,Chennai,Tambaram,Burger King,Chicken 65,Veg,3,246,59,Cash,3.4
O182,C7576,2025-10-27,01:22,Madurai,Tambaram,KFC,Parotta,Veg,4,145,56,Card,4.5
O183,C6707,2025-11-09,19:31,Coimbatore,Tambaram,Burger King,Pizza,Veg,5,227,33,UPI,3.9
O184,C3164,2025-05-22,15:25,Coimbatore,Velachery,SS Hyderabad,Meals,Non-Veg,3,82,54,Card,3.6
O185,C3010,2025-07-15,07:04,Chennai,Velachery,SS Hyderabad,Burger,Non-Veg,3,377,49,Cash,5.0
O186,C5662,2025-07-12,05:16,Madurai,Tambaram,Dominos,Fried Rice,Non-Veg,1,267,32,Card,4.3
O187,C1819,2025-05-20,11:10,Trichy,Velachery,KFC,Dosa,Veg,5,481,16,UPI,3.4
O188,C3563,2025-07-18,08:13,Chennai,Porur,Burger King,Burger,Veg,3,277,40,Card,4.7
O189,C3754,2025-12-14,02:20,Coimbatore,Porur,Dominos,Pizza,Non-Veg,5,112,24,Card,4.8
O190,C7089,2025-06-18,09:44,Madurai,Velachery,A2B,Dosa,Veg,3,158,15,Cash,3.5
O191,C9447,2025-02-15,15:41,Salem,T Nagar,Dominos,Meals,Non-Veg,1,170,33,UPI,4.0
O192,C7624,2025-03-18,20:28,Salem,Porur,A2B,Fried Rice,Non-Veg,4,350,36,Cash,4.4
O193,C3066,2025-05-19,10:09,Chennai,Porur,Burger King,Fried Rice,Non-Veg,5,256,33,Card,3.6
O194,C6786,2025-02-27,17:56,Madurai,T Nagar,Dominos,Pizza,Veg,3,163,37,Cash,4.8
O195,C7478,2025-12-31,08:56,Chennai,Tambaram,A2B,Dosa,Non-Veg,5,219,16,UPI,4.8
O196,C4006,2025-01-11,12:22,Chennai,Anna Nagar,KFC,Dosa,Non-Veg,4,197,29,Card,3.6
O197,C8015,2025-11-30,06:10,Trichy,T Nagar,Dominos,Pizza,Veg,1,167,32,UPI,3.3
O198,C5083,2025-08-15,08:45,Chennai,Porur,SS Hyderabad,Parotta,Non-Veg,2,258,50,Card,4.5
O199,C1524,2025-03-04,19:50,Salem,T Nagar,SS Hyderabad,Biryani,Veg,1,87,18,Cash,3.1
O200,C9084,2025-09-18,09:17,Chennai,Porur,A2B,Fried Rice,Veg,4,274,42,Cash,5.0
O201,C3097,2025-05-27,04:29,Coimbatore,T Nagar,A2B,Biryani,Veg,2,316,42,UPI,4.5
O202,C6496,2025-10-18,06:36,Coimbatore,Tambaram,Burger King,Meals,Non-Veg,1,94,20,Cash,3.1
O203,C9389,2025-07-05,07:09,Madurai,Porur,Burger King,Fried Rice,Non-Veg,4,388,27,Card,3.4
O204,C7115,2025-02-16,05:42,Trichy,Velachery,SS Hyderabad,Dosa,Non-Veg,2,93,60,UPI,3.5
O205,C7223,2025-04-23,11:04,Madurai,T Nagar,Dominos,Pizza,Non-Veg,2,112,34,Card,4.2
O206,C2991,2025-02-24,06:15,Trichy,T Nagar,KFC,Dosa,Veg,5,488,30,Cash,4.4
O207,C6816,2025-07-04,23:52,Salem,T Nagar,A2B,Fried Rice,Non-Veg,5,345,26,UPI,3.4
O208,C8229,2025-10-06,12:29,Salem,Anna Nagar,A2B,Burger,Veg,3,379,53,UPI,3.3
O209,C2992,2025-10-13,09:53,Madurai,Anna Nagar,Dominos,Sandwich,Veg,4,409,30,UPI,3.9
O210,C8644,2025-03-17,03:30,Coimbatore,Porur,Dominos,Noodles,Non-Veg,5,289,40,UPI,4.1
O211,C3286,2025-11-29,12:07,Salem,Velachery,Dominos,Pizza,Non-Veg,2,343,41,UPI,4.1
O212,C8307,2025-07-30,04:13,Trichy,Velachery,KFC,Sandwich,Non-Veg,5,116,18,UPI,3.5
O213,C2416,2025-04-13,16:49,Chennai,Tambaram,KFC,Dosa,Non-Veg,5,394,59,Card,3.9
O214,C9726,2025-01-18,10:07,Madurai,T Nagar,A2B,Fried Rice,Non-Veg,5,125,30,Card,4.9
O215,C3800,2025-08-10,23:50,Trichy,T Nagar,SS Hyderabad,Dosa,Veg,3,434,16,Cash,4.3
O216,C8505,2025-02-15,18:53,Madurai,T Nagar,Dominos,Sandwich,Non-Veg,5,110,35,Cash,4.7
O217,C2135,2025-11-23,13:08,Salem,Anna Nagar,Dominos,Dosa,Non-Veg,5,256,45,UPI,5.0
O218,C7409,2025-10-17,18:31,Coimbatore,Anna Nagar,A2B,Chicken 65,Non-Veg,1,116,29,UPI,3.8
O219,C6560,2025-06-13,07:53,Madurai,Anna Nagar,SS Hyderabad,Burger,Veg,4,144,58,UPI,4.7
O220,C9524,2025-12-11,12:21,Trichy,Porur,Dominos,Biryani,Veg,1,458,27,Card,3.8
O221,C1625,2025-10-05,06:11,Coimbatore,Anna Nagar,A2B,Biryani,Non-Veg,1,162,21,Cash,3.8
O222,C6484,2025-11-18,19:01,Trichy,T Nagar,SS Hyderabad,Noodles,Veg,2,354,20,Cash,3.6
O223,C5344,2025-12-14,13:36,Salem,Porur,KFC,Chicken 65,Non-Veg,2,128,39,Cash,4.9
O224,C5216,2025-02-19,11:15,Trichy,Anna Nagar,Dominos,Biryani,Non-Veg,5,163,27,Card,4.5
O225,C5161,2025-04-14,14:18,Salem,Porur,Dominos,Meals,Veg,2,429,49,Card,4.4
O226,C4951,2025-07-17,06:48,Salem,Tambaram,Dominos,Biryani,Veg,1,476,58,Card,3.6
O227,C2729,2025-06-07,16:32,Coimbatore,Velachery,Dominos,Dosa,Non-Veg,5,236,16,UPI,4.3
O228,C6598,2025-03-30,21:22,Madurai,Tambaram,SS Hyderabad,Fried Rice,Veg,3,288,56,UPI,3.9
O229,C4971,2025-05-09,04:06,Trichy,Porur,A2B,Pizza,Non-Veg,1,369,43,Cash,4.6
O230,C8326,2025-10-17,18:16,Salem,Anna Nagar,SS Hyderabad,Biryani,Non-Veg,1,108,57,UPI,3.3
O231,C6435,2025-12-04,03:30,Trichy,T Nagar,SS Hyderabad,Chicken 65,Veg,1,221,36,Card,3.3
O232,C7635,2025-04-07,18:28,Salem,Tambaram,KFC,Burger,Non-Veg,3,248,44,UPI,4.0
O233,C4400,2025-02-11,20:51,Chennai,Velachery,SS Hyderabad,Fried Rice,Non-Veg,2,497,55,Cash,3.8
O234,C3293,2025-05-29,11:32,Trichy,Tambaram,Dominos,Meals,Veg,4,475,35,UPI,4.1
